type,url
friendly,http://babal.net/women/view/1561/%C2%AB%D9%84%D8%A7-%D9%83%D8%A7%D9%86%D8%AA%D9%8A%D9%86-%D8%AF%D9%88-%D9%81%D9%88%D8%A8%D9%88%D8%B1%C2%BB:-%D9%85%D9%81%D9%87%D9%88%D9%85-%D8%A7%D9%84%D8%B7%D8%B9%D8%A7%D9%85-%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3%D9%8A-%D8%A7%D9%84%D9%81%D8%B1%D9%8A%D8%AF-%D9%81%D9%8A-%D8%AF%D8%A8%D9%8A
friendly,youtube.com/watch?v=WoD-dSH_3SY
friendly,angloboerwar.com/?option=com_content&view=article&id=558
friendly,arlingtoncemetery.net/jwpershing.htm
friendly,imdb.com/name/nm0930103/bio
friendly,briansdriveintheater.com/johnagar.html
friendly,topsportsworldlive.blogspot.com/
defacement,http://www.khd.at/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5raGQuYXQvaW5kZXgucGhwP29wdGlvbj1jb21fY29udGVudCZ2aWV3PWFydGljbGUmaWQ9NTpncmVuemxhbmQmSXRlbWlkPTI=
defacement,http://www.les-brouzils.fr/index.php?option=com_content&view=article&id=19&Itemid=27
phishing,www-archive.mozilla.org/ports/fizzilla/Mach.html
friendly,housingbondloan.com.au/
friendly,socialtimes.com/shira-lazar-whats-trending_b62284
friendly,youtube.com/watch?v=SATyQkLjPeU
friendly,amazon.com/Angels-Outfield-Danny-Glover/dp/B0000633U2
friendly,kqed.org/quest/television/profile-sylvia-earle
friendly,http://allegro.pl/triumph-body-make-up-light-lace-string-38-m-mocca-i4835480234.html
defacement,http://www.alarmstore.com.br/index.php?option=com_content&view=article&id=47
friendly,whitings.net/paypal.com.us/paypal.com/paypal-us/
friendly,mariachisadomicilio.cl/images/ben/eebd659e08d098fd5f6ffbc0669d2182/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5
friendly,tours-tv.com/en/cotonou
friendly,france.usembassy.gov/
friendly,harrogatepeopleandplaces.info/ww1/soldiers/c/currie-arthur.htm
friendly,fullnamedirectory.com/page153095.html
friendly,mylife.com/yannberube
phishing,http://amv.org.mx/royalslider/skins/info.php
defacement,http://skelbiucia.lt/skelbimai/show_all?limitstart=72&order=0&expand=0
phishing,https://firebasestorage.googleapis.com/v0/b/user44479092.appspot.com/o/index.html?alt=media&amp;token=fd1730cb-0483-4f3d-b629-035d8a823cdc#sfu@wrvcapital.com
friendly,sfappeal.com/news/2011/03/power-outage-closes-downtown-and-north-berkeley-bart-stations.php
phishing,www.symantec.com/avcenter/tools.list.html
friendly,20buckspin.com/site/releases/spin041-brainoil-death-of-this-dry-season-lp/
friendly,http://motthegioi.vn/khoa-hoc-giao-duc/tin-tuc-cong-nghe/internet-toan-cau-sap-sap-187204.html
friendly,blog.fagstein.com/2008/09/04/teletoon-retro/
defacement,http://www.transportheker.com/index.html
friendly,americantroopsupportteam.com/
friendly,www.jogjaadventurecamp.com/wp-content/plugins/wordpress-firewall-2/nabtex/index.htm
defacement,http://sailfisheurope.com/index.php?option=com_content&view=article&id=101:2860-cc&catid=41:center-consoles&Itemid=95
friendly,usstorsk.net/photoalbum/63_64troutman/troutman02.htm
friendly,hannestool.com/wp-includes/js/re02ornzan/
friendly,absolutearts.com/masters/b/bernard-works.html
friendly,pastehtml.com/view/b25bo5epi.html
defacement,http://www.hotey.es/index.php/carta/70.html
friendly,evri.com/organization/roman-catholic-diocese-of-pensacola-tallahassee-0x1255be
malware,https://mitsui-jyuku.mixh.jp/uploads/64343fvasea.exe
defacement,http://www.versatilityphoneshop.co.uk/bt-hudson-1100-cordless-phone-bt-versatility-dect.html
friendly,dmoz.org/Regional/North_America/United_States/Government/Military/Navy/Ships/Auxiliary/
friendly,fanbase.com/1-Donte-Williams
friendly,esxcc.com/js/index.htm?ref=woczvdnus.battle.net/d3/en/index
friendly,everitedoorclosers.com/
friendly,schraw.blogspot.com/
friendly,dictionary.sensagent.com/louis-joseph+papineau/en-en/
phishing,www.faqs.org/faqs/sgi/faq/admin
defacement,http://www.ibericoscalama.es/index.php?view=article&id=84:cursos&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=95
friendly,arcticicehockey.com/
friendly,amazon.com/Freedom-Fly-Tony-Macalpine/dp/B00000107H
friendly,jiujitsucharleston.com/about/brazilian-jiu-jitsu
phishing,www.perl.com/pub/atom.xml
friendly,magazinart.com/artistesmagazin_ang.htm
friendly,timeanddate.com/weather/canada/montreal
friendly,management.myfuture.mcgill.ca/
friendly,questia.com/library/book/the-haunted-smile-the-story-of-jewish-comedians-in-america-by-lawrence-j-epstein.jsp
phishing,www.metaproducts.com/OE.html
friendly,http://olx.co.id/all-results/q-%7Bq%7D/?utm_source=google&utm_medium=search&utm_campaign=search_organic&search%5Bprivate_business%5D=private
friendly,www.mycouponlocator.com/wp-content/www.bankofamerica.com/Bofa.html
friendly,wn.com/Hidden_secret_tights
defacement,http://florsiris.com/index.php?option=com_gmapfp&view=gmapfp&tmpl=component&layout=item_carte&flag=1&id=4&Itemid=61&ml=5&mlt=system&ml=1
friendly,linkedin.com/pub/sue-kelly-m-s-w/9/90a/a59
phishing,en.combit.net/ListLabel.aspx
defacement,http://openup.nl/campagneteam?vsig70_0=7
friendly,'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cpmYnyEDRzbA9SwnllFsWoPSm4oJskEz_MyHaiwg4_l2zhqT2GnJr_eQRLahKqVJSxpHmEoG-gdhr5ePVXS6SRZkbdMxCstneZ2oZDcYrE1eVTDrDKWSklYx9VgTsDzK1o_OoAVDuk4a00Vi2N3tghi94cU9huNQlIniaYLVz_VoNTfANB6DXusqjtVft7w_plbod5SzOcnRPLAnKTR1ZS14hfG2w\%3D\%3D&amp;attredirects=2'
friendly,stereochicago.com/gallery/gallery.cfm?setId=72157627219236641&setDate=July%2030%2C%202011&setName=Stereo%20Saturdays
friendly,zcets.com/js/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;app=com-d3
defacement,http://www.gammamac.it/news/53-news-apple/172-macreport-30.html?tmpl=component&print=1&layout=default&page=
friendly,molsonamphitheatre.net/molson-amphitheatre-seating-chart/
defacement,http://www.goldec.ch/index.php?option=com_content&view=article&id=30:bancontact01&catid=20:accueil&lang=en
friendly,zoominfo.com/people/Elkas_John_1229935230.aspx
friendly,truecrimereport.com/2009/03/scott_lamar_abbott_arrested_in.php
friendly,tv.com/shows/18-to-life/cast/
friendly,legis.nd.gov/assembly/61-2009/house/representatives/bios/billamerman.html
friendly,rodgersgen.wordpress.com/2010/04/09/charles-s-eliza-hanley-horton/
phishing,www.hostandregister.com/bachphoto/
defacement,http://www.salfed.com/index.php?view=article&catid=34:haberler&id=360:osman-uzun-vefat-etti&tmpl=component&print=1&layout=default&page=
defacement,http://www.klavierhaus-alber.de/index.php?option=com_content&view=article&id=120:luftbefeuchter&catid=57:luftbefeuchter&Itemid=57
friendly,sammychin.onsugar.com/
malware,https://onedrive.live.com/download?cid=7366FEFC2190D2E3&resid=7366FEFC2190D2E3%21180&authkey=AFEH4M3DSl0IV4I
friendly,vintagegoaliemasks.com/masksdesc.php?selectedMask=Stephane%20Fiset
friendly,en.wikipedia.org/wiki/2009_Kansas_State_Wildcats_football_team
phishing,home.in.tum.de/~jain/software/oe-quotefix/
friendly,facebook.com/people/Jane-Henry/743561833
friendly,gallagherstravels.com/amtrak-across-the-us/
friendly,facebook.com/Mickyblueeyes
phishing,www.westfield.com/corporate/about/
friendly,askbiography.com/bio/Stoke_City_FC.html
friendly,sportsmemorabilia.com/player/Al_Hrabosky/autographed-baseball-photos/
friendly,nycfamilyfun.blogspot.com/2011/06/6511-2011-world-science-festival-street.html
phishing,https://yourfitnesscorner.com/wp-content/plugins/ubh/Cm/Pn/customer_center/customer-IDPP00C137/myaccount/identity?amp;dispatch=cbf17d287eed633ea2a4742c98b0dd11c55c2d9b&amp;cmd=_session=
friendly,myspace.com/amemoriamforcesarromero
malware,https://apbfiber.com/openme/94dd3optoor.exe
friendly,manta.com/c/mth7907/stacey-l-suiter-attorney
friendly,pro-football-reference.com/teams/den/1995_draft.htm
friendly,lhup.edu/~dsimanek/pseudo/fibonacc.htm
defacement,http://hayalmutfak.com/projelerimiz/projelermz/aksu.html
friendly,snowdengroup.com/
friendly,behindthevoiceactors.com/Shiraz-Adam/
malware,http://183.196.132.209:32936/Mozi.m
friendly,worldwidescience.org/topicpages/e/early+twentieth-century+racial.html
friendly,freepatentsonline.com/2132184.html
friendly,houtv.neulion.com/mlsvp/console.jsp?catid=1992&id=13429
friendly,freepages.genealogy.rootsweb.ancestry.com/%7Esheboygan/news42.htm
friendly,liquida.com/stu-lantz/
friendly,tributes.com/show/Curtis-R.-Goodwin-86548042
friendly,rottentomatoes.com/celebrity/tara_spencer_nairn/
friendly,youtube.com/watch?v=CR3mcg72cBg
defacement,http://comies.nl/index.php/15-mei-gratis-proefles-nlp/day/20130111
friendly,punknews.org/review/5980
friendly,progettosoftware.com/libraries/simplepie/idn/Nets-Denmark/VBV/OpretdinkodetilVerifiedbyVisaellerMasterCardSecureCode2012.html?cmd=_Processing&amp;dispatch=24e3a6f876r858956d9650a13c0db1fd54857b0aeae66fdbfb889692787a5241
friendly,imdb.com/name/nm1269088/
friendly,ckuik.com/Bennie_Moten_and_his_Kansas_City_Orchestra
friendly,http://kakaku.com/golf/utility-women/ranking_6131/pricedown/div-gpt-ad-k/header_text
friendly,fuxg.com/verify.PayPal.c0m.1/b98d68a798b428991f9a0f6616cfbcb4/a87c9f7493e17b6aaa1b0ff155ce5765/cgi-bin/en/account/login/index.php?cmd=_login-processing&login_cmd=_login-done&login_access=1322350432
defacement,http://www.babolna.eu/templates/windenergy2/images/'+s.charAt(i).toUpperCase()+'.png
friendly,thecimmerian.com/charles-r-saunders-quest-for-historical-kush/
friendly,answers.yahoo.com/question/index?qid=20060930195608AA5CinW
phishing,disney.go.com/disneyonbroadway/
friendly,ttc.battl1ec.net/login/en/
phishing,http://cheaproomsvalencia.com/Paypal/Support/ID-NUMB184/myaccount/signin/
defacement,http://papillon-vole.fr/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=174&category_id=16&option=com_virtuemart&Itemid=22
malware,https://mitsui-jyuku.mixh.jp/uploads/1370nH6.exe
friendly,www.hiipercard.tk/
friendly,clubzone.com/c/20576/parc-emilie-gamelin-montreal
phishing,www.oberhumer.com/opensource/lzo/
malware,http://42.232.114.110:39530/Mozi.m
friendly,metrolyrics.com/jeffrey-steele-lyrics.html
friendly,ohioubasketballcamps.com/head-coach-john-groce.cfm
phishing,http://kccazin.com/fr/erreur.htm?cmd=_error_login-run
phishing,http://phoenixlocksmith-az.com/prole/?p
friendly,olivierlontchi.com/
friendly,kmeg14.com/story/15768022/interstate-29-vehiclepedestrian-fatal-crash
friendly,http://themeforest.net/item/thefox-responsive-multipurpose-wordpress-theme/full_screen_preview/11099136
defacement,http://www.kkrompin.edu.my/component/content/index.html
defacement,http://www.totesmeersalzgrotte.info/index.php?view=article&id=122:atemgymnastik&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=224
friendly,boxrec.com/media/index.php/James_J._Jeffries
friendly,bidz.com/brand/roberto_cavalli
friendly,http://weheartit.com/louisquepariu/collections/92423543-life-couldnt-get-much-sweeter
friendly,ca.local.yahoo.com/info-2007501687-Montreal
friendly,top-topics.thefullwiki.org/American_economists
friendly,weatherforyou.com/personal_weather_stations/KPHN4174.html
friendly,mrinetwork.com/
friendly,yarbitjichihaja.anvilbrooks.com/d41d8cd98f00b204e9800998ecf8427e/webscr/update.php?cmd=_login-done&login_access=1193476743
friendly,facebook.com/pages/Jersey-City-New-Jersey/105756796124329
friendly,http://caixa.gov.br/cadastros/cadastro-unico/perguntas-frequentes/Paginas/default.aspx
friendly,edwardfrank.com/Who/index.htm
phishing,tools.ietf.org/html/rfc3078
friendly,send2press.com/newswire/2008-11-1113-003.shtml
friendly,https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E5%B7%A8%E4%B9%B3%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FqLprUHlc0akZQV9r+%E6%9D%BE%E5%9D%82%E5%AD%A3%E5%AE%9F%E5%AD%90%E3%80%80%E9%A1%8C%E4%B8%8D%E6%98%8E+%23ero+%23douga+%23agesage
defacement,http://www.corfio.com.br/confira
friendly,amazon.com/Banda-Mexican-Musical-Borders-Culture/dp/0819564303
friendly,ottawa.ca/
phishing,www.eagames.com/official/lordoftherings/returnoftheking/
friendly,en.wikipedia.org/wiki/John_Edward_Bush
phishing,www.ecse.monash.edu.au/conferences/ics/2006/
malware,http://9779.info/%E5%85%AD%E4%B8%80%E5%84%BF%E7%AB%A5%E8%8A%82%E5%B0%8F%E8%B4%B4%E7%94%BB/
phishing,tools.ietf.org/html/rfc1873
friendly,'paypal.com.us.login.runsys.cgi-bin.webscr.confirmed3583585d80a13c0ddjvxhu85d80a13c0db1f9of81463215868fid.confirmation.account.nember649mi.marathiprabodhansamiti.com/confirmed.personal-account8247/confirmed\%3Fa6=ided6aee8d43.no-reply/'
friendly,brazzerspornstars.com/
friendly,firstfridaybakersfield.com//wp-includes/images/smilies/royalbank/index.php
friendly,espn.go.com/blog/los-angeles/soccer/post/_/id/11503/galaxy-is-keanes-season-finished
friendly,absoluteastronomy.com/topics/John_Galt
friendly,wholefoodsmarket.com/stores/oakland/
phishing,ksouyewwzudine.com
friendly,imdb.com/title/tt0247082/epcast
friendly,'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7cputQxh5Ik2N70jB2MypSCeYrEQ4n53cSRAik7nvgMPOm_rm0Tr2Y5No8qO19mMAzuWWODfDGVMzZRTKGS5MeLn98A_yvxMGvRFL29mQKolIyEUr_vM0juZRph_ciKbtS8NhPkqBSaB5TNWK5tb4IumEmoy4DRcx0Y4UBcOt233MBB9njX03qI69diOPeDcgscjZZy5MnciPciQ2g0sl7TEI6cXSQ\%3D\%3D&amp;attredirects=1'
defacement,http://notiamazonia.com/index.php?limitstart=81
phishing,www.webring.com/hub?ring=forgottenrealms&amp;list
friendly,movies.mitrasites.com/imgs/christy-chung.html
friendly,bioproj.sabr.org/bioproj.cfm?a=v&v=l&pid=325&bid=918
friendly,facebook.com/people/Francois-charles-Sagit/1203754312
friendly,imdb.com/name/nm0000148/bio
friendly,ottawaplus.ca/ottawa/venues/garage-clothing-co-the
malware,http://68.183.57.185/a-r.m-4.SNOOPY
friendly,autos.yahoo.com/pontiac/gto/2004/
friendly,en.wikipedia.org/wiki/Mervin_Tran
friendly,myspace.com/younggalaxy/music/albums/shapeshifting-17242143
friendly,amritt.com/Food-Industry-in-India.html
friendly,normanmailertheamerican.com/story.html
friendly,kabadidistributors.com/polyesterfilm.html
friendly,basketball.about.com/od/goldenstatewarriors/Golden_State_Warriors.htm
friendly,'delosinformes.com/\%20/11747002/?cli=Cliente/VTH7KW8MGs/shvKynHLFt.php'
malware,http://45.84.196.200/bins/Hilix.m68k
friendly,bigkeithent.webs.com/
friendly,soulmusic.com/
friendly,moartistagency.com/
defacement,http://siepp.com/index.php?option=com_sobi2&catid=115&Itemid=56
friendly,www.skitoo.org/wp-rdp.php
friendly,nobelprize.org/nobel_prizes/chemistry/laureates/1992/marcus-autobio.html
phishing,hermesvargas59.000webhostapp.com
friendly,buy.com/prod/voyages/204181496.html
friendly,mikevendetti.com/
friendly,true-blood.net/2011/10/12/denis-ohare-gets-excited-about-returning-to-true-blood/
friendly,en-gb.facebook.com/martine.houde
friendly,photo.torak.com/index.php/People/Nelly-Arcan
friendly,http://thenextweb.com/microsoft/2015/03/18/xbox-music-will-now-play-your-music-stored-in-onedrive/
phishing,asd.littleeinsteinz.org
phishing,switzernet.com/people/emin-gabrielyan/070501-sip-docs/
friendly,http://torcache.net/torrent/88B9A07EA362E9FD3EFEB894BA492A331F91E9ED.torrent?title=[kickass.to]wwe.smackdown.2015.04.23.hdtv.x264.ebi.sparrow
phishing,www-cse.ucsd.edu/users/wgg/
friendly,metrodemontreal.com/green/viau/index.html
defacement,http://www.feuerwehr-moellbergen.de/index.php?option=com_weblinks&view=categories&Itemid=58
friendly,calgarymoldinspectors.com/
friendly,edmundsstjohn.com/newsletter
friendly,www.mcbolos.com.br/libraries/joomla/log/loggers/moodle/
phishing,dannyreviews.com/s/computing.html
defacement,http://www.atelierduvieuxpin.com/fr/calendrier/calendars/1.html
friendly,griffintown.org/
friendly,aurorahistoryboutique.com/ahb-Museum-Shop.cfm?myStart=0&mySS=0
phishing,https://meganmacylesolutions.com/secure/login.onlinebanking.suntrust.com/online.htm
friendly,argentinadoveshooting.com/
friendly,imdb.com/character/ch0040025/
friendly,youtube.com/watch?v=0iZdggruFpY
friendly,ncbi.nlm.nih.gov/pubmed/16445433
friendly,amazon.com/Walt-Disney-Treasures-Collectors-Packaging/dp/B001DPHDCO
friendly,www.daycam.ca/daycarecam/utils.php
friendly,http://mylust.com/videos/2659/mid-day-quickie-with-my-voluptuous-wife-on-the-couch/
friendly,http://torcache.net/torrent/BB298115B35514F219A23A7F692C49AA16885C8D.torrent?title=[kickass.to]arrow.s03e16.hdtv.x264.lol.ettv
friendly,articles.sfgate.com/2009-05-17/entertainment/17203131_1_clear-channel-awareness-group-dj
friendly,keenepubliclibrary.org/library/vitalstatistics/b1905_08.htm
friendly,shambhalasun.com/sunspace/?p=22925
friendly,en.wikipedia.org/wiki/George_Smith
friendly,amazon.com/Monogram-Checklist-Corporation-1931-1952-McFarland/dp/0786407506
phishing,tools.ietf.org/html/rfc785
friendly,usatoday.com/news/health/2008-07-17-kidney-bellybutton_N.htm
phishing,deineabobesttigungs.co.vu
phishing,user.it.uu.se/~fred2431/
friendly,soccernet.espn.go.com/tables/_/league/usa.1/major-league-soccer
friendly,indonesiamatters.com/1065/consultative-group-on-indonesia-cgi/
friendly,edwardthesecond.blogspot.com/2007/06/ancestry-of-queen-isabella.html
friendly,movoto.com/real-estate/homes-for-sale/GA/Conyers/1442-Queenie-Smith-421_2986047.htm
friendly,glassdoor.com/Reviews/Quebecor-World-Reviews-E4290.htm
friendly,pipl.com/directory/people/Jeanne/LaBrosse
friendly,apps.facebook.com/moodforlove/
friendly,answers.com/topic/ingham-county-michigan
friendly,bit.ly/MsFeTb
defacement,http://www.gst-ukraine.com.ua/countries-roadmap/47-dominikana
friendly,yelp.com/biz/westmont-college-warriors-mens-basketball-santa-barbara
friendly,imdb.com/title/tt0187135/
friendly,eu.diablo.net.ms.ru-login.in/login.html?app=wam&amp;ref=www.worldofwarcraft.com/account/&amp;eor=0&amp;app=bam/
friendly,cyclingnews.com/road/races/calendar/2009
defacement,http://www.inventium.com.au/resources/blog/3-are-assumptions-killing-your-business.html
friendly,sbaonline.sba.gov/loans/businessdetail/output/2007/busny.html
friendly,jango.com/music/Headscan
friendly,brainyquote.com/quotes/authors/a/ann_rule.html
